Date,open_SAR,open_USD,high_SAR,high_USD,low_SAR,low_USD,close_SAR,close_USD,volume
22-09-2020,39068.74189,10417.22,39651.89158,10572.71,38827.8912,10353,39490.24934,10529.61,43991
21-09-2020,40955.41811,10920.28,41212.62054,10988.86,38615.43104,10296.35,39068.74189,10417.22,70683
20-09-2020,41556.83226,11080.64,41556.83226,11080.64,40215.5392,10723,40955.41811,10920.28,39157
19-09-2020,41004.62336,10933.4,41928.68442,11179.79,40831.99245,10887.37,41556.86976,11080.65,38440
18-09-2020,41029.376,10940,41397.02771,11038.03,40552.47514,10812.84,41004.58586,10933.39,47266
17-09-2020,41081.9191,10954.01,41424.89318,11045.46,40301.16083,10745.83,41029.3385,10939.99,55601
16-09-2020,40448.92659,10785.23,41603.1872,11093,39983.83949,10661.22,41081.9191,10954.01,64991
15-09-2020,40023.40621,10671.77,40992.02202,10930.04,39778.54259,10606.48,40449.22662,10785.31,61822
14-09-2020,38752.28314,10332.84,40316.8,10750,38300.35994,10212.34,40023.40621,10671.77,67059
13-09-2020,39156.68877,10440.67,39679.64454,10580.11,38254.08,10200,38752.24563,10332.83,43837
12-09-2020,38958.74266,10387.89,39296.57869,10477.97,38513.7952,10269.25,39157.62637,10440.92,35379
11-09-2020,38767.35974,10336.86,38995.15904,10397.6,38254.08,10200,38958.74266,10387.89,43830
10-09-2020,38326.42522,10219.29,39316.75584,10483.35,37769.64083,10070.83,38767.39725,10336.87,58253
09-09-2020,37979.02566,10126.66,38790.3872,10343,37432.7799,9981.01,38326.08768,10219.2,49347
08-09-2020,38904.58688,10373.45,39146.6752,10438,36941.44,9850,37978.98816,10126.65,73491
07-09-2020,38463.68986,10255.89,39044.4768,10410.75,37035.2,9875,38904.54938,10373.44,62620
06-09-2020,38129.15418,10166.69,38805.91386,10347.14,37484.72294,9994.86,38464.85248,10256.2,56368
05-09-2020,39177.616,10446.25,39625.52627,10565.68,36847.68,9825,38129.15418,10166.69,90001
04-09-2020,38022.64282,10138.29,39855.68832,10627.05,37037.0752,9875.5,39177.616,10446.25,92733
03-09-2020,42711.58042,11388.54,42989.33504,11462.6,37356.98432,9960.8,38032.24384,10140.85,121950
02-09-2020,44712.15629,11921.97,44834.41933,11954.57,41854.83904,11160.1,42711.58042,11388.54,87221
01-09-2020,43690.3223,11649.51,45195.50784,12050.85,43185.856,11515,44712.15629,11921.97,78148
31-08-2020,43921.57197,11711.17,44257.60781,11800.77,43392.128,11570,43690.3223,11649.51,55353
30-08-2020,43001.48634,11465.84,43950.9376,11719,42972.0832,11458,43921.53446,11711.16,43177
29-08-2020,43230.48576,11526.9,43429.70701,11580.02,42818.46682,11417.04,43001.48634,11465.84,32973
28-08-2020,42493.45715,11330.38,43289.55456,11542.65,42292.84826,11276.89,43230.52326,11526.91,45953
27-08-2020,42984.90957,11461.42,43475.38688,11592.2,41723.2,11125,42493.45715,11330.38,63246
26-08-2020,42448.60237,11318.42,43277.06573,11539.32,42169.4976,11244,42984.94707,11461.43,53998
25-08-2020,44060.41178,11748.19,44134.14464,11767.85,41695.59706,11117.64,42448.60237,11318.42,69590
24-08-2020,43685.10925,11648.12,44348.10496,11824.9,43448.72154,11585.09,44060.44928,11748.2,46212
23-08-2020,43742.8279,11663.51,43947.44973,11718.07,43182.59315,11514.13,43685.14675,11648.13,37900
22-08-2020,43246.72499,11531.23,43827.1744,11686,42667.58822,11376.81,43740.76518,11662.96,43678
21-08-2020,44455.51642,11853.54,44547.2512,11878,43076.38182,11485.81,43247.13754,11531.34,64448
20-08-2020,44083.62675,11754.38,44584.7552,11888,43759.6672,11668,44455.55392,11853.55,46085
19-08-2020,44798.90304,11945.1,45080.10803,12020.08,43358.3744,11561,44084.41434,11754.59,73940
18-08-2020,46059.22496,12281.15,46459.09261,12387.77,44321.96467,11817.93,44798.5655,11945.01,75923
17-08-2020,44670.9769,11910.99,46759.9872,12468,44141.38291,11769.78,46059.14995,12281.13,84734
16-08-2020,44451.24096,11852.4,44748.72269,11931.72,43827.1744,11686,44671.0144,11911,41368
15-08-2020,44106.76672,11760.55,44929.792,11980,43804.672,11680,44451.24096,11852.4,56237
14-08-2020,44178.84941,11779.77,44442.24,11850,43632.26611,11634.03,44106.72922,11760.54,59818
